trial_num	cue_type	target_identity	target_category	choices	target_presence	response	response_correct	response_rt	trial_time	pre_cue	notsure	target_stim	timing1	actual_timing1	positions	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t	u	v	w	x	y	z	aa	bb	cc	dd	ee	ff	gg	hh	ii	jj	kk	ll	mm	nn	oo	pp
31	precue	flower	object	"['a', 'b']"	present	present	1	1.064198949	6.900050644	['flower']	['present']	['flower']	0.9	0.916600075	"[(0, 0)]"	['coast_43']	['present']	['coast_43']	0.1	0.4775016	"[(0, 0)]"	['flower_46']	['present']	['flower_46']	0.1	0.105804925	"[(0, 0)]"	['chair_72']	['present']	['chair_72']	0.1	0.100010352	"[(0, 0)]"	['car_6']	['present']	['car_6']	0.1	0.116621658	"[(0, 0)]"	['bathroom_3']	['present']	['bathroom_3']	0.1	0.100038503	"[(0, 0)]"	['woods_34']	['present']	['woods_34']	0.1	0.116558317	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916644942	"[(0, 0)]"
32	nocue	FALSE	FALSE	"['a', 'b']"	absent	present	0	1.197737477	6.579909838	[False]	['present']	[False]	0.9	0.913297227	"[(0, 0)]"	['desert_54']	['present']	['desert_54']	0.1	0.100080731	"[(0, 0)]"	['shoe_4']	['present']	['shoe_4']	0.1	0.116655968	"[(0, 0)]"	['woods_48']	['present']	['woods_48']	0.1	0.116594093	"[(0, 0)]"	['bathroom_4']	['present']	['bathroom_4']	0.1	0.116658021	"[(0, 0)]"	['car_58']	['present']	['car_58']	0.1	0.116645118	"[(0, 0)]"	['flower_28']	['present']	['flower_28']	0.1	0.116663299	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.916650514	"[(0, 0)]"
33	precue	coast	scene	"['a', 'b']"	absent	absent	1	0.589231301	6.514532914	['coast']	['absent']	['coast']	0.9	0.914478722	"[(0, 0)]"	['chair_6']	['absent']	['chair_6']	0.1	0.100045835	"[(0, 0)]"	['flower_27']	['absent']	['flower_27']	0.1	0.100018563	"[(0, 0)]"	['desert_10']	['absent']	['desert_10']	0.1	0.116589987	"[(0, 0)]"	['woods_18']	['absent']	['woods_18']	0.1	0.116688519	"[(0, 0)]"	['bathroom_51']	['absent']	['bathroom_51']	0.1	0.1165677	"[(0, 0)]"	['shoe_66']	['absent']	['shoe_66']	0.1	0.100036157	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916666056	"[(0, 0)]"
34	nocue	FALSE	FALSE	"['a', 'b']"	absent	absent	1	0.786865262	6.54837076	[False]	['absent']	[False]	0.9	0.9150095	"[(0, 0)]"	['coast_4']	['absent']	['coast_4']	0.1	0.100123838	"[(0, 0)]"	['chair_42']	['absent']	['chair_42']	0.1	0.116567114	"[(0, 0)]"	['shoe_57']	['absent']	['shoe_57']	0.1	0.116661833	"[(0, 0)]"	['car_1']	['absent']	['car_1']	0.1	0.116653329	"[(0, 0)]"	['woods_55']	['absent']	['woods_55']	0.1	0.116641892	"[(0, 0)]"	['desert_18']	['absent']	['desert_18']	0.1	0.116659487	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.91652735	"[(0, 0)]"
35	nocue	FALSE	FALSE	"['a', 'b']"	absent	present	0	0.734179802	6.547986606	[False]	['present']	[False]	0.9	0.914606284	"[(0, 0)]"	['car_68']	['present']	['car_68']	0.1	0.100046421	"[(0, 0)]"	['coast_9']	['present']	['coast_9']	0.1	0.11665978	"[(0, 0)]"	['bathroom_66']	['present']	['bathroom_66']	0.1	0.116634268	"[(0, 0)]"	['shoe_22']	['present']	['shoe_22']	0.1	0.116667111	"[(0, 0)]"	['woods_19']	['present']	['woods_19']	0.1	0.116621072	"[(0, 0)]"	['flower_22']	['present']	['flower_22']	0.1	0.116612861	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.90004126	"[(0, 0)]"
36	postcue	woods	scene	"['a', 'b']"	absent	present	0	1.21393765	6.581254965	[False]	['present']	[False]	0.9	0.914710094	"[(0, 0)]"	['coast_38']	['present']	['coast_38']	0.1	0.116653915	"[(0, 0)]"	['chair_43']	['present']	['chair_43']	0.1	0.116594093	"[(0, 0)]"	['desert_20']	['present']	['desert_20']	0.1	0.100050233	"[(0, 0)]"	['shoe_19']	['present']	['shoe_19']	0.1	0.116645118	"[(0, 0)]"	['flower_25']	['present']	['flower_25']	0.1	0.116652449	"[(0, 0)]"	['bathroom_43']	['present']	['bathroom_43']	0.1	0.116657434	"[(0, 0)]"	['woods']	['present']	['woods']	0.9	0.91660682	"[(0, 0)]"
37	precue	shoe	object	"['a', 'b']"	present	present	1	0.737523412	6.531815171	['shoe']	['present']	['shoe']	0.9	0.915129145	"[(0, 0)]"	['woods_62']	['present']	['woods_62']	0.1	0.116539549	"[(0, 0)]"	['car_16']	['present']	['car_16']	0.1	0.100177503	"[(0, 0)]"	['shoe_41']	['present']	['shoe_41']	0.1	0.116577378	"[(0, 0)]"	['flower_63']	['present']	['flower_63']	0.1	0.10004994	"[(0, 0)]"	['desert_21']	['present']	['desert_21']	0.1	0.116558903	"[(0, 0)]"	['coast_25']	['present']	['coast_25']	0.1	0.116588814	"[(0, 0)]"	[False]	['present']	[False]	0.9	0.90002953	"[(0, 0)]"
38	precue	shoe	object	"['a', 'b']"	absent	absent	1	0.511672869	6.564814329	['shoe']	['absent']	['shoe']	0.9	0.914833258	"[(0, 0)]"	['coast_39']	['absent']	['coast_39']	0.1	0.116656848	"[(0, 0)]"	['car_20']	['absent']	['car_20']	0.1	0.100040263	"[(0, 0)]"	['flower_29']	['absent']	['flower_29']	0.1	0.116589694	"[(0, 0)]"	['woods_40']	['absent']	['woods_40']	0.1	0.100051113	"[(0, 0)]"	['bathroom_31']	['absent']	['bathroom_31']	0.1	0.116594093	"[(0, 0)]"	['chair_22']	['absent']	['chair_22']	0.1	0.116659487	"[(0, 0)]"	[False]	['absent']	[False]	0.9	0.916637317	"[(0, 0)]"
39	postcue	shoe	object	"['a', 'b']"	present	present	1	0.843438012	6.565094967	[False]	['present']	[False]	0.9	0.915052021	"[(0, 0)]"	['car_24']	['present']	['car_24']	0.1	0.116656261	"[(0, 0)]"	['desert_5']	['present']	['desert_5']	0.1	0.116655968	"[(0, 0)]"	['woods_13']	['present']	['woods_13']	0.1	0.116622831	"[(0, 0)]"	['shoe_47']	['present']	['shoe_47']	0.1	0.11658119	"[(0, 0)]"	['flower_41']	['present']	['flower_41']	0.1	0.100095687	"[(0, 0)]"	['coast_39']	['present']	['coast_39']	0.1	0.116599958	"[(0, 0)]"	['shoe']	['present']	['shoe']	0.9	0.916656965	"[(0, 0)]"
40	postcue	shoe	object	"['a', 'b']"	present	present	1	0.707995427	6.581520354	[False]	['present']	[False]	0.9	0.914799534	"[(0, 0)]"	['woods_44']	['present']	['woods_44']	0.1	0.116642772	"[(0, 0)]"	['car_32']	['present']	['car_32']	0.1	0.116661246	"[(0, 0)]"	['shoe_4']	['present']	['shoe_4']	0.1	0.116665645	"[(0, 0)]"	['flower_49']	['present']	['flower_49']	0.1	0.116626936	"[(0, 0)]"	['desert_59']	['present']	['desert_59']	0.1	0.116655088	"[(0, 0)]"	['coast_11']	['present']	['coast_11']	0.1	0.116663592	"[(0, 0)]"	['shoe']	['present']	['shoe']	0.9	0.916653446	"[(0, 0)]"
